# Demo lexicon: form<TAB>lemma<TAB>freq (ipm-like).
# Real deployments use tools/lexicon-builder over OpenCorpora + RNC frequencies.
привет	привет	220.0
приват	приват	15.0
правда	правда	310.0
проверка	проверка	90.0
проверку	проверка	40.0
проверки	проверка	55.0
проверить	проверить	70.0
программа	программа	180.0
программы	программа	95.0
программу	программа	60.0
тест	тест	85.0
тесты	тест	40.0
тестирование	тестирование	30.0
тестирования	тестирование	18.0
тестированию	тестирование	6.0
строение	строение	25.0
настроение	настроение	60.0
сообщение	сообщение	110.0
сообщения	сообщение	70.0
предложение	предложение	95.0
задание	задание	75.0
здание	здание	65.0
знание	знание	80.0
внимание	внимание	120.0
спасибо	спасибо	350.0
пожалуйста	пожалуйста	180.0
сегодня	сегодня	400.0
завтра	завтра	150.0
вчера	вчера	130.0
человек	человек	700.0
люди	человек	320.0
время	время	650.0
работа	работа	500.0
работы	работа	280.0
работу	работа	220.0
работать	работать	260.0
делать	делать	340.0
сделать	сделать	310.0
говорить	говорить	380.0
сказать	сказать	420.0
хорошо	хорошо	450.0
плохо	плохо	120.0
новость	новость	55.0
новости	новость	95.0
скорость	скорость	45.0
возможность	возможность	130.0
информация	информация	160.0
ситуация	ситуация	140.0
организация	организация	100.0
телефон	телефон	150.0
компьютер	компьютер	90.0
клавиатура	клавиатура	12.0
слово	слово	300.0
слова	слово	260.0
вопрос	вопрос	330.0
ответ	ответ	200.0
день	день	600.0
ночь	ночь	170.0
утро	утро	140.0
вечер	вечер	160.0
дом	дом	480.0
дома	дом	300.0
школа	школа	170.0
машина	машина	200.0
дорога	дорога	180.0
город	город	360.0
страна	страна	290.0
мир	мир	340.0
друг	друг	310.0
друга	друг	150.0
мама	мама	240.0
папа	папа	120.0
брат	брат	90.0
сестра	сестра	70.0
жизнь	жизнь	470.0
любовь	любовь	130.0
история	история	220.0
письмо	письмо	95.0
письма	письмо	45.0
встреча	встреча	110.0
встретиться	встретиться	60.0
понять	понять	230.0
понимать	понимать	180.0
думать	думать	250.0
знать	знать	400.0
видеть	видеть	290.0
смотреть	смотреть	210.0
быстро	быстро	160.0
медленно	медленно	40.0
конечно	конечно	260.0
просто	просто	380.0
